area,baths,beds,condo,location,price
1.018,1,3,0,3,260.014
1.672,2,3,1,2,265.0
0.975,1,3,0,3,271.742
2.372,3,4,0,3,273.75
1.446,2,3,0,3,275.086
3.009,3,4,0,3,280.987
2.056,2,4,0,3,285.0
1.993,2,4,0,3,287.417
1.857,2,3,0,3,291.0
1.126,1,2,0,1,292.024
2.494,3,5,0,3,297.0
1.843,2,3,0,3,298.0
1.52,2,2,0,2,299.0
2.8,3,5,0,2,304.037
2.309,2,4,0,3,311.0
2.367,3,5,0,2,315.537
3.516,4,5,0,2,320.0
1.914,3,4,0,3,328.36
1.69,1,2,0,2,334.15
2.725,3,3,0,3,335.75
2.354,3,4,0,3,335.75
2.185,2,3,0,4,344.25
1.801,2,4,0,3,346.21
1.961,3,3,0,3,347.029
3.134,2,4,0,3,347.65
1.915,3,4,0,3,351.3
2.734,3,4,0,2,370.5
2.11,2,3,0,3,372.0
3.164,3,5,0,3,375.0
3.599,3,5,0,2,381.3
2.054,2,4,0,3,381.942
1.83,2,4,0,2,387.731
1.627,3,3,0,1,391.0
3.44,3,4,0,3,394.47
2.846,2,3,0,4,395.0
2.359,3,4,0,3,400.186
2.052,3,3,0,3,415.0
3.433,3,5,0,3,425.0
3.615,3,5,0,2,430.0
2.687,3,5,0,4,460.0
2.724,3,4,0,3,461.0
3.44,3,4,0,3,489.332
3.508,4,5,0,3,510.0
2.462,2,4,0,4,539.0
2.325,3,3,0,2,660.0
0.795,1,2,1,2,69.0
1.099,2,4,0,1,70.0
0.84,1,2,1,3,71.0
0.8,1,2,0,2,78.0
0.746,1,2,0,3,78.4
1.067,1,3,0,3,80.0
1.316,2,4,0,2,89.0
1.337,1,3,0,2,90.0
0.868,1,2,0,3,90.0
0.924,1,3,0,3,92.0
0.61,1,2,0,3,93.675
1.22,1,2,0,2,98.0
0.722,1,1,1,3,98.0
1.643,1,3,0,2,99.0
0.722,1,1,1,3,100.0
1.08,1,3,0,3,106.716
1.039,1,3,0,3,111.0
1.051,1,3,0,2,111.0
0.967,2,2,0,2,114.8
1.098,1,3,0,2,120.108
1.05,1,3,0,3,123.225
1.11,2,3,0,2,123.75
0.888,1,3,0,2,125.0
1.12,2,3,0,3,125.0
1.08,2,3,0,2,126.0
0.957,1,3,0,2,129.0
0.952,1,2,0,2,134.0
1.211,2,3,0,2,135.0
1.264,2,3,0,2,135.5
1.08,1,3,0,2,140.0
1.266,2,3,0,3,140.0
0.994,2,2,1,2,142.5
1.202,2,3,0,2,143.5
0.722,1,2,0,3,145.0
1.448,2,4,0,3,145.0
1.188,2,3,0,3,145.0
1.183,2,4,0,2,146.0
1.32,1,3,0,3,148.5
1.117,2,3,0,3,149.0
1.364,2,3,0,3,150.0
1.31,2,4,0,3,150.0
1.006,2,2,0,3,152.0
1.104,2,3,0,2,156.0
0.81,1,2,0,2,156.0
1.123,2,2,0,3,156.0
0.904,1,2,0,2,157.788
1.156,2,3,0,2,161.653
1.321,1,2,0,3,161.829
1.392,2,3,0,2,165.0
1.439,2,3,0,3,168.0
1.159,2,3,0,2,169.0
1.671,2,3,0,2,175.0
1.74,2,3,0,3,176.25
1.265,2,3,0,3,179.0
1.007,2,2,0,2,180.0
1.716,2,3,0,3,180.4
1.685,2,4,0,3,182.0
1.829,2,4,0,2,184.5
1.555,2,3,0,3,185.0
1.12,2,4,0,2,189.0
1.137,2,3,0,2,194.0
1.174,1,3,0,3,195.0
1.393,2,3,0,2,200.0
1.289,2,3,0,3,205.0
1.799,2,4,0,2,205.0
1.953,3,4,0,3,205.0
0.723,1,2,0,3,207.0
1.578,2,4,0,2,215.0
1.317,2,3,0,2,215.0
1.36,1,3,0,3,222.381
1.522,2,3,0,2,225.0
1.751,2,4,0,2,225.0
1.465,2,3,0,3,225.0
1.605,2,4,0,3,228.0
1.475,2,4,0,2,229.665
1.216,1,3,0,4,230.0
1.315,2,2,0,2,230.0
1.567,2,3,0,3,230.0
1.776,2,3,0,2,234.0
2.187,2,3,0,2,235.0
1.291,1,3,0,3,236.25
1.503,2,3,0,2,245.0
2.491,3,4,0,3,245.0
1.269,1,2,0,1,245.0
1.176,2,3,0,2,250.0
1.456,2,4,0,2,250.0
1.498,2,3,0,4,250.0
1.574,2,3,0,2,255.0
2.17,2,3,0,3,257.729
1.595,2,4,0,3,260.0
1.567,2,3,0,2,261.0
1.253,2,4,0,3,264.469
1.768,3,4,0,2,265.0
2.03,3,4,0,2,270.0
1.531,2,3,0,2,270.0
1.653,3,4,0,3,275.0
2.056,2,4,0,3,275.0
2.494,3,4,0,3,280.0
1.45,2,3,0,2,286.013
2.169,2,4,0,2,292.0
1.44,2,3,0,4,292.0
1.527,2,3,0,2,293.993
1.401,2,3,0,4,294.0
1.411,2,3,0,2,296.769
1.284,1,3,0,2,300.0
2.307,3,4,0,3,300.0
1.91,2,4,0,2,300.5
1.981,2,3,0,2,305.0
2.205,2,4,0,3,319.789
1.449,2,2,0,4,330.0
1.258,2,3,0,4,330.0
2.575,2,3,0,3,331.0
0.539,1,2,0,3,334.0
2.208,3,4,0,2,336.0
1.108,1,3,0,1,339.0
1.595,2,4,0,4,339.0
2.159,2,4,0,3,345.0
1.838,2,3,0,4,356.0
1.9,2,4,0,3,361.745
1.718,2,4,0,1,361.948
3.389,3,5,0,3,370.0
3.26,4,5,0,3,385.0
2.016,2,3,0,4,399.0
2.607,2,4,0,4,402.0
2.724,3,4,0,3,406.026
3.746,4,5,0,3,420.0
3.192,2,4,0,2,425.0
1.247,1,2,0,1,445.0
2.581,2,4,0,4,450.0
2.068,1,3,0,2,460.0
3.992,3,4,0,3,460.0
3.397,4,4,0,2,465.0
3.881,3,5,0,2,471.75
1.598,2,2,0,2,484.0
3.07,3,4,0,3,495.0
3.984,3,5,0,3,572.5
2.222,2,4,0,2,582.0
3.838,3,4,0,4,613.401
2.846,5,5,0,2,680.0
2.484,2,5,0,1,699.0
0.97,1,3,0,2,61.5
0.623,1,2,0,1,62.05
0.932,1,2,0,3,65.0
0.796,1,2,0,2,65.0
0.834,1,2,0,3,68.0
0.834,1,2,0,3,68.0
0.924,1,2,1,2,77.0
0.795,1,2,1,2,82.732
1.25,1,3,0,2,84.0
0.984,1,2,0,3,84.675
1.013,1,3,0,3,85.0
1.012,1,3,0,3,90.0
0.795,1,2,1,3,90.0
0.918,2,2,0,2,91.0
1.082,1,3,0,2,95.0
0.964,1,2,0,2,97.5
0.625,1,1,1,3,100.0
0.888,1,2,0,2,101.0
1.12,2,4,0,2,102.75
1.331,1,3,0,2,112.5
1.014,1,3,0,2,113.0
1.448,2,4,0,3,114.0
0.966,1,3,0,2,114.0
0.779,1,2,0,3,114.75
0.836,2,2,1,2,115.0
1.1,2,2,1,4,115.0
1.174,1,3,0,3,116.1
1.207,2,3,0,2,119.25
0.804,1,2,0,3,120.0
0.958,2,2,1,2,120.0
1.366,2,3,0,3,120.108
0.901,2,2,0,3,121.5
0.696,1,3,0,2,121.725
1.08,2,3,0,3,122.0
1.104,2,3,0,3,123.0
0.972,1,2,0,2,125.0
1.39,2,4,0,2,125.573
1.354,2,4,0,2,126.714
0.795,1,2,1,3,126.96
0.78,1,2,1,4,127.0
1.587,2,4,0,3,127.5
1.209,2,3,0,2,130.0
1.139,1,2,0,3,133.105
1.69,2,2,0,2,136.5
1.245,2,3,1,2,139.5
1.416,2,3,0,2,140.0
1.3,2,3,0,3,140.8
1.12,2,3,0,3,145.0
1.59,2,4,0,3,147.0
1.407,2,3,0,3,149.6
1.516,2,5,0,3,150.0
1.646,2,3,0,3,150.0
1.676,2,3,0,3,155.0
1.37,2,3,0,2,155.435
1.37,2,3,0,2,155.5
1.351,2,4,0,2,158.0
1.152,2,3,0,2,158.0
1.452,2,3,0,3,160.0
0.99,1,2,0,4,160.0
1.162,2,2,0,2,164.0
1.182,2,3,0,2,164.0
1.112,2,2,0,3,165.0
1.1,2,3,0,3,167.0
1.28,2,4,0,2,167.293
1.28,2,4,0,2,167.293
1.039,1,3,0,3,168.0
1.159,2,3,0,2,170.0
1.917,2,4,0,2,170.0
1.52,2,3,0,2,170.0
1.204,2,3,0,3,174.0
1.12,2,3,0,2,178.0
1.436,2,3,0,3,180.0
1.451,2,3,0,3,180.0
1.638,2,4,0,3,180.0
1.0,2,2,1,2,182.0
1.152,1,3,0,4,188.325
1.154,2,3,0,4,191.5
1.353,2,3,0,2,192.0
1.329,2,3,0,2,192.7
1.356,1,3,0,3,195.0
1.505,2,3,0,2,197.654
1.009,1,3,0,2,198.0
1.144,2,3,0,3,200.345
0.93,1,2,0,2,203.0
1.766,2,4,0,2,207.0
1.94,3,4,0,3,208.0
1.776,2,4,0,3,210.0
1.258,1,3,0,2,212.0
1.872,2,4,0,3,213.675
1.112,2,2,0,3,213.697
1.856,2,4,0,2,215.0
1.939,3,4,0,1,215.0
0.998,1,3,0,4,215.1
1.758,2,3,0,4,217.5
2.142,2,3,0,2,218.0
0.95,1,2,0,3,220.0
1.739,3,4,0,3,221.0
1.516,2,3,0,3,222.9
0.988,1,3,0,2,223.139
1.555,2,4,0,3,225.5
1.212,2,3,0,3,228.327
1.871,2,4,0,2,230.0
1.302,2,3,0,3,230.0
0.756,1,2,1,2,230.522
2.026,3,4,0,2,231.2
1.375,2,3,0,3,232.0
1.25,2,2,1,2,232.5
1.058,1,3,0,3,233.641
1.187,2,3,0,2,234.0
1.324,2,2,0,3,234.5
1.936,3,4,0,3,235.0
1.427,2,3,0,4,236.073
1.678,2,3,1,2,238.0
1.798,2,4,0,3,238.861
2.652,3,4,0,2,239.7
1.816,2,4,0,3,240.0
3.076,3,5,0,2,240.0
1.844,2,4,0,3,241.0
1.306,2,3,0,3,245.0
2.447,3,4,0,2,246.0
1.176,2,4,0,3,247.234
1.182,2,4,0,2,247.48
1.16,1,3,0,2,249.862
1.424,2,3,0,2,251.0
1.574,2,4,0,2,252.155
1.83,2,3,0,2,254.172
1.724,2,4,0,3,258.0
1.255,2,2,1,4,260.0
2.175,3,4,0,2,261.0
1.904,2,4,0,2,261.0
1.808,2,4,0,4,262.5
2.711,2,4,0,2,266.0
1.713,1,3,0,2,266.0
1.457,2,3,0,3,270.0
2.724,3,4,0,3,274.425
1.468,2,3,0,3,275.336
2.55,3,4,0,2,277.98
1.928,2,4,0,3,280.0
1.922,3,3,0,1,284.686
1.343,2,3,0,2,284.893
1.51,2,3,0,4,285.0
1.559,2,4,0,2,285.0
2.992,3,5,0,3,295.0
2.109,2,4,0,3,296.0
1.524,2,4,0,2,296.056
1.248,2,3,0,3,297.359
1.876,2,4,0,3,299.94
1.851,3,4,0,2,305.0
2.218,2,4,0,2,311.328
1.394,2,3,0,3,313.138
1.41,2,3,0,3,316.63
3.468,3,5,0,3,320.0
2.346,3,5,0,2,320.0
2.347,3,5,0,2,325.0
1.659,2,4,0,2,328.578
2.442,3,3,0,3,331.0
2.155,2,4,0,2,340.0
1.81,2,3,0,3,345.746
2.789,2,4,0,3,351.0
1.606,2,4,0,3,353.767
2.166,2,4,0,2,356.035
1.871,2,4,0,2,360.552
1.8,2,3,0,2,362.305
1.683,1,3,0,1,365.0
1.596,2,2,0,4,370.0
1.179,2,3,0,3,378.0
1.639,1,3,0,1,388.0
3.281,3,5,0,2,395.1
1.697,2,3,0,1,400.0
2.085,3,4,0,2,408.431
1.939,3,4,0,4,423.0
1.788,3,2,0,1,427.5
1.691,2,3,0,4,430.922
2.002,2,4,0,3,445.0
4.303,4,4,0,3,450.0
4.246,3,5,0,2,452.0
2.274,2,3,0,4,470.0
3.056,4,4,0,2,475.0
2.503,3,3,0,3,484.5
1.905,2,3,0,4,500.0
1.32,2,3,0,4,506.688
3.037,2,4,0,2,528.0
3.741,2,5,0,3,579.093
2.66,3,4,0,4,636.0
3.357,3,4,0,2,668.365
2.896,3,5,0,4,676.2
3.788,3,5,0,3,691.659
0.838,1,2,0,3,55.422
0.904,1,2,0,2,63.0
1.032,1,2,0,2,65.0
0.904,1,2,0,2,65.0
1.08,1,2,0,1,65.0
0.99,2,2,0,3,66.5
0.9,1,2,0,2,71.0
0.861,1,2,0,3,75.0
0.906,1,2,1,3,77.0
1.011,1,2,0,2,85.0
1.089,2,3,0,3,95.625
0.832,1,2,0,2,96.14
0.8,1,2,1,3,104.25
1.292,2,4,0,2,105.0
0.81,1,2,0,3,108.0
1.064,2,4,0,2,109.0
0.911,1,2,0,2,115.0
0.846,1,1,1,2,115.0
1.32,2,3,0,2,115.5
1.41,2,3,0,2,115.62
1.115,2,3,0,2,116.0
1.169,2,3,0,3,122.0
1.164,2,3,0,3,122.5
1.341,2,4,0,3,123.0
1.219,2,3,0,2,124.0
1.127,2,4,0,2,124.0
1.272,2,3,0,2,124.413
1.253,2,4,0,3,125.0
1.12,2,3,0,3,130.0
1.118,2,2,0,2,131.75
1.89,3,4,0,2,137.721
1.26,2,3,0,2,137.76
1.4,2,3,0,3,138.0
1.264,1,3,0,2,140.0
1.06,1,3,0,3,145.0
1.132,2,2,0,3,145.0
1.466,2,3,0,3,150.0
1.092,2,3,0,2,150.0
1.628,2,4,0,3,151.0
0.96,2,3,0,2,155.0
1.075,2,3,0,2,155.8
1.428,2,3,0,3,156.142
1.358,2,4,0,3,158.0
1.41,2,3,0,2,160.0
1.711,2,3,0,2,161.5
1.483,2,4,0,3,161.6
1.14,2,3,0,3,162.0
1.549,2,4,0,3,165.0
1.41,2,3,0,3,165.0
1.24,2,3,0,3,167.293
1.712,2,5,0,2,168.0
1.58,2,4,0,3,168.0
1.669,2,3,0,2,168.75
1.029,1,3,0,3,168.75
1.103,1,3,0,2,170.0
2.161,2,3,0,3,170.25
1.65,2,3,0,3,173.0
1.2,2,3,0,3,176.095
1.17,2,3,0,2,176.25
1.199,2,3,0,2,178.0
1.695,2,4,0,3,179.0
1.157,2,3,0,2,180.0
1.41,2,3,0,2,180.0
1.174,2,3,0,4,180.0
1.593,2,3,0,3,181.0
1.093,2,3,0,2,182.0
1.77,2,3,0,4,182.587
1.436,2,4,0,3,185.074
1.124,2,3,0,3,185.833
1.139,2,4,0,3,186.785
1.638,2,3,0,3,187.0
1.328,2,3,0,2,188.335
1.273,2,3,0,3,190.0
1.082,1,3,0,2,190.0
1.578,2,4,0,2,190.0
0.796,1,2,0,4,190.0
1.386,2,3,0,3,191.25
1.452,2,3,0,2,193.0
1.513,2,3,0,3,193.5
1.578,2,4,0,2,195.0
1.736,3,4,0,2,195.0
1.473,1,3,0,2,195.0
1.15,1,3,0,3,198.0
1.127,2,3,0,2,199.9
1.144,1,3,0,2,200.0
0.972,1,3,0,2,201.0
2.306,2,4,0,3,204.918
1.479,2,3,0,2,205.0
1.43,2,3,0,2,205.878
1.8,2,4,0,3,207.0
1.953,2,4,0,2,207.744
1.12,2,3,0,2,209.0
1.232,2,3,0,2,210.0
0.984,1,1,1,2,210.944
2.329,2,4,0,3,213.75
1.351,2,3,0,3,215.0
1.376,1,4,0,4,215.0
1.566,2,4,0,2,220.0
1.115,1,2,0,1,220.0
1.032,1,2,0,1,220.0
1.419,2,4,0,2,220.0
1.261,2,3,0,3,220.0
1.637,2,2,0,2,220.702
1.338,2,3,0,3,222.0
2.254,2,5,0,3,222.75
1.441,2,3,0,2,225.0
1.991,2,4,0,2,225.0
2.126,3,4,0,3,228.75
1.094,2,3,0,3,229.0
1.462,2,3,0,4,230.095
2.258,3,5,0,2,232.5
1.074,2,3,0,2,233.0
2.111,2,4,0,3,233.5
1.686,2,3,0,2,239.0
1.915,3,4,0,2,240.0
2.367,2,4,0,3,240.0
1.962,2,3,0,3,240.971
1.406,2,2,0,2,242.0
1.789,2,3,0,3,243.45
1.876,2,4,0,2,243.5
1.235,2,3,0,2,246.544
2.504,2,4,0,2,246.75
1.676,2,3,0,2,247.0
1.367,2,3,0,2,249.0
1.899,3,4,0,3,249.0
1.636,2,3,0,3,250.0
1.828,2,3,0,2,250.0
1.438,2,4,0,3,252.0
1.451,2,3,0,3,255.0
1.52,1,3,0,2,255.0
1.506,2,3,0,4,255.0
2.605,2,4,0,2,257.2
1.196,2,3,0,2,260.0
1.621,2,3,0,4,260.0
1.811,2,3,0,2,263.5
1.54,2,3,0,3,266.51
1.543,2,3,0,3,275.0
2.494,3,5,0,2,276.0
1.65,2,3,0,4,276.5
2.214,3,4,0,3,278.0
2.28,3,5,0,2,279.0
1.443,2,3,0,2,280.0
1.582,2,4,0,2,280.0
1.857,2,3,0,3,285.0
1.735,2,3,0,3,288.0
2.096,3,4,0,3,289.0
1.72,2,3,0,2,290.0
2.16,2,4,0,2,290.0
1.382,2,4,0,2,293.996
1.721,2,4,0,3,294.173
1.328,2,4,0,4,295.0
1.982,2,4,0,3,298.0
1.144,1,2,0,1,299.0
1.623,2,2,0,2,300.0
1.457,2,3,0,4,300.0
2.555,3,6,0,3,300.0
1.577,2,3,0,4,300.567
2.592,3,5,0,3,303.0
1.401,2,3,0,2,305.0
1.502,2,3,0,2,310.0
1.327,2,3,0,4,310.0
1.8,3,4,0,4,310.0
2.169,2,4,0,3,311.518
2.457,3,5,0,4,312.0
2.004,2,4,0,2,315.0
2.212,3,4,0,4,315.0
3.134,3,5,0,2,315.0
1.36,2,3,0,2,315.0
1.276,2,3,0,3,320.0
2.962,3,4,0,2,322.0
1.888,2,4,0,4,325.0
1.548,2,3,0,3,328.37
2.109,3,4,0,2,330.0
2.484,2,4,0,2,331.2
2.258,3,4,0,2,332.0
2.212,3,3,0,2,334.0
1.616,2,3,0,2,335.0
2.372,2,4,0,2,341.0
2.606,3,5,0,4,346.375
2.877,3,5,0,3,349.0
2.96,2,3,0,2,350.0
2.172,2,3,0,4,350.0
2.1,2,3,1,4,350.0
1.795,2,3,0,3,351.0
2.295,2,4,0,4,360.0
2.577,3,4,0,4,367.463
1.727,1,3,0,3,380.0
1.485,2,3,0,3,380.578
1.655,2,3,0,2,386.222
2.049,2,3,0,4,395.5
2.875,3,5,0,3,397.0
2.199,2,4,0,4,400.0
1.304,1,2,0,1,413.5
2.334,2,3,0,2,415.0
2.278,3,4,0,4,420.454
1.493,1,3,0,1,425.0
2.787,3,5,0,4,441.0
2.824,3,5,0,3,445.0
3.261,3,4,0,4,446.0
2.053,2,4,0,2,450.0
2.379,3,4,0,4,455.0
3.173,2,3,0,2,525.0
1.348,1,3,0,2,545.0
1.252,1,2,0,1,575.0
3.229,3,4,0,4,575.0
3.863,4,5,0,3,598.695
2.356,3,4,0,4,600.0
3.579,3,5,0,4,610.0
1.512,2,4,0,3,56.95
0.611,1,1,1,3,60.0
0.876,1,2,0,3,61.0
0.933,1,2,1,2,62.0
0.864,1,2,0,3,68.566
1.011,1,2,0,2,70.0
1.158,2,4,0,2,80.0
1.092,2,3,0,2,85.5
0.956,1,2,1,2,92.0
1.139,2,2,0,3,93.6
1.058,1,3,0,3,95.0
1.04,2,3,0,2,97.75
1.354,2,3,0,3,104.0
1.051,1,3,0,2,105.0
0.682,1,1,1,2,107.666
1.161,1,3,0,3,109.0
1.004,1,3,0,2,110.0
1.229,1,3,0,2,110.0
1.249,2,3,0,3,112.5
1.161,2,3,0,3,114.8
1.01,1,3,0,3,116.0
1.462,2,4,0,3,121.5
1.269,2,3,0,3,122.0
1.188,2,2,0,3,123.675
1.57,2,4,0,2,126.854
1.093,2,3,0,1,127.059
0.962,1,3,0,3,128.687
1.089,2,3,0,3,129.5
1.127,2,3,0,3,130.0
1.309,2,4,0,3,131.75
0.97,1,2,0,2,132.0
1.144,2,3,0,3,134.0
1.0,1,3,0,2,134.0
1.206,2,3,0,2,142.0
1.285,1,3,0,2,143.012
1.543,2,3,0,3,145.846
0.884,1,2,0,2,147.0
1.019,1,3,0,1,148.75
1.392,2,4,0,3,150.0
0.924,1,2,1,2,150.454
1.217,2,3,0,3,151.087
1.67,2,3,0,2,157.296
1.302,2,3,0,3,157.5
1.488,2,3,0,3,160.0
1.373,2,3,0,2,160.0
1.381,2,4,0,2,161.25
1.265,2,3,0,3,164.0
0.881,1,2,0,1,165.0
1.608,2,4,0,3,165.75
1.344,1,3,0,2,166.0
1.202,2,3,0,2,169.0
1.104,2,3,0,4,170.0
1.232,2,3,0,3,170.0
1.638,1,3,0,3,170.725
1.177,2,2,0,3,171.75
1.582,2,3,0,2,172.0
0.904,2,2,0,3,173.056
1.34,2,3,0,3,174.0
1.204,2,3,0,2,174.25
1.477,2,4,0,3,176.85
1.497,2,4,0,3,179.5
0.96,1,3,0,2,185.0
1.428,2,3,0,2,188.7
1.039,1,3,0,3,189.0
1.529,1,3,0,2,189.0
1.892,3,4,0,2,189.836
1.887,2,4,0,2,190.0
1.294,2,3,0,2,191.25
1.638,2,3,0,3,191.675
1.677,2,3,0,3,195.5
1.073,1,3,0,2,198.0
1.231,2,3,0,2,200.0
1.175,2,3,0,3,200.0
1.416,2,3,0,3,200.0
1.358,2,3,0,2,201.528
1.609,2,4,0,3,204.75
1.968,3,4,0,2,205.0
1.089,2,2,0,1,205.0
1.296,2,3,0,2,205.9
1.189,2,2,0,3,207.0
0.795,1,2,0,2,207.973
1.371,2,3,0,4,208.25
1.31,1,3,0,2,208.318
1.262,2,3,0,3,209.347
1.74,2,4,0,3,211.5
1.517,2,3,0,2,212.0
1.45,2,3,0,3,213.0
1.416,2,3,0,3,216.0
0.888,1,3,0,3,216.021
1.882,2,3,0,2,219.0
1.302,2,3,0,3,219.794
1.418,2,3,0,3,220.0
1.319,2,4,0,2,220.0
1.77,2,4,0,3,220.0
1.627,2,4,0,2,223.0
1.04,1,3,0,2,224.0
0.96,1,3,0,2,224.252
1.456,1,3,0,2,225.0
1.45,2,3,0,3,228.0
1.358,2,3,0,4,229.027
1.329,2,4,0,3,229.5
1.715,2,4,0,3,230.0
1.262,2,3,0,3,230.0
2.28,3,4,0,3,232.425
1.477,2,3,0,3,234.0
1.216,2,3,0,2,235.0
1.685,2,4,0,3,235.301
1.362,2,3,0,4,235.738
